"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.4314720812183","73.6032388663968","73.4500364697301","72.2911774572291","73.8002594033723","70.8067440390281","74.3983635464898","77.4721644787425","78.4501607014015","74.6484208825893","75.7392415688645","77.3351917738222","78.103133375534","75.9485039734613","82.0772692172231","86.7451710964109","87.5191877279866","86.9155560416583","84.9688020379897","83.2196037289458","78.5889180263081","78.0238833547693","78.1557337364564","78.3062801289823","76.4358852871112","93.9732743182936","83.74730912584","76.8260892202563","71.6497083550472","",
"Africa Eastern and Southern","AFE","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.41256679301","109.740707113011","119.456991010884","119.285518650391","",
"Africa Western and Central","AFW","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.6384273766316","64.8074405165019","55.9255549100896","47.9818468001013","44.388661401761","46.5179217930882","45.6105975401277","62.1106724512631","52.8400988307572","52.2182581334132","53.2522587004446","59.1747907010866","62.4424046620397","69.1768293578966","69.906483946859","70.118317292374","66.8360091965964","58.5357694742794","62.8225469494102","52.5365847693664","54.6517680859473","61.5577696865222","61.5288630939363",
"Albania","ALB","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","67.415421055405","65.6948213760848","68.983982495845","68.9347115568077","72.7110265086007","71.9642648474598","72.0339759968198","74.2900716492545","76.6257409403719","73.6377585893151","81.8680223533638","117.099908107101","186.912123638379","138.491641087268","115.806121399801","99.1722725535762","100.27397670276","104.888898795216","101.886446429165","92.6770405466376","88.5081800425937","84.7922677022504","87.0737573489446","87.7733258919118","85.6024866282478","85.8463397355878","85.8457686113176","89.9813852029424","92.777552681104","91.5916498410958","87.8200509876705","88.7524417637416","89.0317885592506","88.9551766566833","90.5797330646223","89.3273378960241","89.8605679823701","87.1261970111874","86.3407619715685","88.2223058664963","88.2208616279566","84.5298380793054","83.3983646556408","82.2528052141","82.3993747755178",
"Andorra","AND","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.0435236102179","71.5191819489214","68.3241041952254","69.5084916142461","64.2153817245223","62.9445816042946","66.8307750446845","65.6796842279188","62.521750023432","50.4603806304242","46.9890112957046","40.7807631009196","43.447307897429","46.4816541450861","53.493657916983","54.0149684348545","53.9307315827471","50.3781944624367","52.2796409199226","61.4913715138765","55.475744690665","54.812996656517","58.0321368885812","",
"Argentina","ARG","Final consumption expenditure (% of GDP)","NE.CON.TOTL.ZS","79.0364791888187","70.1006928300889","79.2461395242787","82.0133738769648","75.9007508054255","75.4970316256486","77.7942255677275","76.2864326203048","77.228763077663","76.0094029790157","74.694222005323","76.4876920807954","75.748565291364","77.2030183884084","77.1261069354123","70.7137838666004","66.0167676839929","66.7688129390393","69.3068526178788","73.9620337036417","76.1639431937343","77.7597922462956","75.6755519963391","75.796876427071","77.2024983563445","76.9481621112158","80.7003134984625","80.1476922549427","78.0401937656444","78.0064379577354","80.2748020106189","83.7659849814264","84.832196249988","82.716341043641","83.1088093536358","81.910244378841","81.0254053145373","81.3883852297522","81.54813118993","83.8654765221869","83.1162031113242","83.0682586224061","74.133671156184","74.6358632064367","75.4461369173024","75.1712533824236","75.6996034278587","75.5205568037984","76.7080967360791","78.882044434113","79.3978326526411","79.9092777965726","81.5488369177742","82.793803323967","82.332955462195","84.0042171039133","83.376469651473","84.4364672435558","85.275279443618","82.5708278909383","82.5777141918946","78.8689819822509","81.2501365012643","82.3366500981434","83.1332016923945",
