"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400000","800000","8000000","25320000","17570000","51940000","232375000","122034000","104188500","69868500","110725325.614409","122852992.703235","247140608.495888","292073220.164722","466531991.901724","667671562.134495","943733059.483284","760040745.87233","529321391.641958","653219756.47225","496636701.129687","346092394.393256","406578406.693112","184127986.314895","333823945.510433","252747990.684352","266855048.832037","100287214.397978","58582750.1214803","366445214.820501","975658909.266107","580365078.650983","138515325.459718",
"American Samoa","ASM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","2200000","-6900000","8500000","19600000","22400000","23000000","5000000","4400000","15600000","22600000","38596296.2962963","32951851.8518519","43107407.4074074","60607407.4074074","54792592.5925926","19648148.1481481","15240740.7407407","24788888.8888889","31485185.1851852","19351851.8518519","22944444.4444444","22774074.0740741","51792533.3333333","96504370.1625511","145813879.480756","92910942.6925618","120216017.556152","104576495.70641","123754285.361587","288731522.142357","346552078.976619","153573370.702718","83981325.7341622","93722574.3158356","69631054.053927","124833151.026493","92885388.5633041","46263101.049287","114024660.121814","97431976.4735789","151271628.230867","202333092.274125","133908540.37037","96381781.1111111","289816410","313270088.888889","327939063.703704","270634323.333333",
"Australia","AUS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","893138535.5","1155158059","1054014675.1","135039666.1","1327729911.6","449028697.2","1047313646.6","1141019599.1","1676855615.2","1489983132.8","1866223965","2346546543","2286321730.3","2990964045.3","428250491.4","2098624894.3","5369760088.7","5190522203","8476377245.2751","8023170406.83781","8457776859.55028","2612066526.44483","4941906671.70674","5312435141.58877","4458484243.65442","13268875155.4923","4563952446.39275","8088068982.50254","7597610928.17343","2210917991.82997","14892978180.1828","10717133150.6924","14656321800.5386","8985246029.5004","42907672820.3756","-25093141435.1896","30551100656.5983","44440876036.5147","45170097261.1184","28932973452.6035","35554698682.4247","65578266555.523","57571285654.7447","54472699003.596","63204516347.8726","46892808567.8516","42970225977.7088","48199372039.9015","60686639529.923","38745129661.1196","17976843681.3118","31518948092.7139","70364982117.0187","32480422229.3843","55229644654.3531",
"Austria","AUT","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","112650000","142729999.9","145400000","160759999.9","177050000","79109999.9","91230000","96810000","142389999.9","187430000","239300000","327519999.9","207919999.9","216120000","115239999.9","169167935.4","183400907.8","395491398","445427083.5","581979789.4","653000000","360000000","1485517750","1125106120","2075823590","1825090250","4323513090","2668974820","4571855710","2974499990","8501013450","5689434550","138346430","6195021860","3183649650","81096089418.116","10500457158.3387","68865787583.4395","6301143681.98324","14300064389.0077","-22007325156.2772","22983942931.9265","5218620112.78237","-1290975416.81939","1708425859.86856","-6847372583.72227","-28502567388.3665","14031983575.0406","-27839206246.3826","-12636357247.4569","-12003798872.8906","18998114634.0552","14301504457.0346","2924935668.81844","9305312182.91852",
"Azerbaijan","AZE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000","22000000","330050000","627277000","1114838000","1022967000","510317000","129937000","819579000","2024577000","4007330000","4719107000","4476396000","4485966000","4594234000","3986807000","2900030000","3352997000","4485120000","5293250000","2619437000","4430466000","4047630000","4499666000","2867487000","1402998000","1503918000","507151800","-1707666000","-4474481000","252836000","231276000",
"Burundi","BDI","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","100000","","410000","440000","220000","320000","80000","-250000","890000","-300000","4599999.9","11080000","900000","3040000","1189999.9","538566.543006104","1524028.63247118","1367714.12346925","1196623.81138929","567226.890756301","1255434.74294","892500.106741913","600088.333002617","473679.874783755","3957.84890911789","1981922.46479085","","","","-475191.305312188","11683250","-11440.9127038289","","","44690.7076028704","584701.692574561","31593.7781888499","500245.093059071","3833208.34759484","348404.534569828","780582.003631939","3354999.1805922","604919.651526489","116727136.517749","91728105.4553991","7360447.70883191","55456.6186128592","221005514.187153","6663532.44406275","30289708.9123114","21226213.0415059","22377441.9094287","25285988.3657221","34127983.5378171","",
"Belgium","BEL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","314000000","428000000","386000000","719000000","1137000000","954600000","871789999.9","1274930000","1435800000","1130079999.9","1544780000","1386450000","1472180000","1289700000","389370000","1051490000","729860000","2354920000","5212470000","7020270000","8046730000","9362560000","11285800000","10750000000","8513580000","10688700000","14063900000","11998300000","22690500000","119692913000","88738714000","88203254000","18118954671.3727","34559267489.7083","44498165771.1404","33662010793.5663","58821552824.3718","96551634531.2489","190391844688.587","77354509260.1055","125491894873.016","163624381384.584","11810272330.6797","-29640924980.1455","-15205871357.966","-19514245854.7287","57538351507.0684","-37288840312.4531","-41601387266.7493","-10587088044.2371","-30416922630.7659","35347519888.6006","11875049208.5361","-2776119886.70005","-35568962017.2993",
"Benin","BEN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","6700000","2799999.9","4799999.9","3500000","-2343120.32888629","1889760.24940719","2452390.82596359","3126021.57196208","753359.561873316","3568043.12335903","4316555.84568939","2090299.06059477","-12172.6229100822","10496.868316392","11442.7822973772","-90000","1100000","100000","-21662039.8992973","-1118466.198443","-2954844.09146129","393822.32951725","954317.43364815","-21635980.3291014","-7107468.70636541","-7738379.60727878","-14661253.7760882","12183267.3373419","11294143.499927","9314781.87697578","-12794843.6146594","16739539.3415644","-19395622.6954978","10638088.2576387","-40774605.0603663","-8788860.12677477","-12363482.3642044","139189943.015456","48210757.8531253","-18807407.3780513","53507087.7359353","161302390.821903","281548556.296849","360343380.324677","405737369.105159","149755663.330268","131790853.84079","200902719.348051","194073683.196865","218207871.715643","174019952.063051","345985235.68003","375988902.223793","442960064.385834","",
"Burkina Faso","BFA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","400000","1000000","-700000","4400000","2669999.9","300000","2049999.9","4969999.9","1159999.9","1490000","20000","2430000","1950000","1980000","1669999.9","-1429999.9","3140000","1330000","3710000","5669999.9","460000","570000","3113050","3178380","18371590","9816730","16225130","9765810","4407140","7925950","23107520","6267060","15026080","29122510","14348320","52130040.8814284","83849256.0712148","21711800.9008661","33190579.8762819","56653992.3324814","38870701.3569488","143845512.327138","329281976.028321","490403410.536841","357296974.294135","231901703.683868","390622353.410172","2572690.32188177","268414907.946195","162970140.263612","-98777856.0144418","-79957355.3390048","669738240.850165","109438755.395966","",
"Bangladesh","BGD","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","90000","2339999.9","2200000","1543333.3","5419999.9","6980000","7700000","-8009999.9","8509999.9","5360000","6960000","403978.557545405","-553269.398283548","-6660000","2436499.3440436","3205086.7621919","1838242.49913628","247908.273938643","3238781.18895631","1390444.32247979","3721853.38228801","14049886.5245761","11147788.327757","1896372.12711773","13529831.5362586","139376153.115317","190059372.97475","179603006.318605","280384629.677983","78527040.0772573","52304931.038967","268285231.831689","448905400.707685","813321971.875196","456523167.703824","651029738.054822","1328422986.51751","901286583.13086","1232258246.59254","1264725163.33408","1584403459.98466","2602962095.36816","2539190939.6837","2831152765.15515","2332724780.71108","1810395803.56746","2421626238.43717","1908045387.02685","1525312160.40493","1723856464.12346","1634888030.42698","1385155351.84895","1506325965.75563",
"Bulgaria","BGR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","4000000","55900000","41500000","40000000","105400000","90400000","109000000","504800000","537317256.150851","818788154.863275","1001503841.99968","812942201.973002","904659791.087722","2096788700.05598","3072550961.81564","4098122930.77934","7874476255.43262","13875270456.9117","10296720633.7243","3896664559.17164","1842900000","2103810000","1788110000","1989040000","1093600000","2221390000","1488430000","2007290000","1809860000","2221250000","3310660000","2335300000","5060860000","5577880000","3500390000",
"Bahrain","BHR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","3399999.9","110000","1320000","3210000","650000","22970508.3355514","145171539.850449","-418036875.019956","4150000","28457446.8841953","64095744.8513185","140691489.51761","101329787.234043","-31914893.6170213","-35904255.3191489","222074468.085106","180851063.829787","91755319.1489362","619414893.617021","868617021.276596","-275000007.923316","208244700.235544","430586743.724591","2048151879.61006","329284164.223768","179454413.27302","453737837.974613","363562321.906707","80358858.3697633","216986881.649309","516700276.442675","865308118.622995","1048601306.14142","2914659868.30075","1756312514.78198","1793998354.54447","257149561.420298","155771009.169721","780851063.829787","1544680851.06383","3727712765.95745","1518617021.2766","64893617.0212766","243351063.829787","1426063829.78723","1654255319.14894","941755319.148936","1021276595.74468","1779255319.14894","1951329787.23404","7225797872.34043","2702659574.46808",
"Bahamas, The","BHS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","80319999.9","54659999.9","90430000","102250000","143440000","17579999.9","14600000","31400000","-1100000","9600000","4100000","34400000","2800000","-6000000","-4900000","-30200000","-13200000","10800000","36700000","25400000","-17000000","-1300000","300000","27300000","23600000","106900000","87800000","210000000","146900000","149300000","250250000","102370000","152790000","190200000","273600000","563414700","706380000","713350000","860156197.03","663960000","871970000","666621000","526171000","382252000","251277428.82","76075924.75","390400036.41","304587573.117333","491404689.229667","482229306.391","434599799.803594","383064779.121094","530913950.39875","322456455.071094","240551037.3",
"Bosnia and Herzegovina","BIH","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66736468.3604305","176780594.760508","146075610.876644","118495219.813023","267769568.956599","381784637.391406","889597294.548592","623812851.5592","845962876.359591","1841972230.25245","1004852659.85344","138511019.727863","443840207.092831","471610992.220788","391976946.375189","313295008.331529","544866345.45742","383089615.729344","313198153.358835","509429047.915133","601783317.146818","447875544.610653","483278992.870742","767542282.660214","851454276.30085","1035178227.48115","1127282091.26557",
"Belarus","BLR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7000000","17600000","10500000","14700000","104500000","351600000","203200000","444000000","118800000","95800000","247100000","171800000","163800000","306600000","357100000","1807300000","2187900000","1876500000","1393400000","4002400000","1463600000","2246100000","1862000000","1652300000","1246900000","1276300000","1426500000","1273300000","1393200000","1230721861.86","1606417743.38","1992107728.25","1726513428.87",
"Belize","BLZ","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","7089999.9","3339999.9","","","","","","","2000000","-50000","","-2000000","","","-3700000","3700000","4600000","6850000","14000000","18650000","17200000","13600000","15600000","9200000","15369500","21050000","16580000","11955000","17650000","58671500","29564651.9166666","61174888.8668778","25461176.8782397","-10924755.7533455","111496166.355423","126908465.922063","108828544.570357","140373737.268583","169668449.489583","108840086.423874","96449877.0838034","95348525.1917313","194201408.788436","92247730.9426541","141097030.34391","59119223.8981488","32733410.9928006","31831615.5013862","122041646.954707","93910241.7033733","76202813.5002132","125495493.195585","140907967.620593","16037530.5268891","127880236.825598",
"Bermuda","BMU","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34700000","102700000","60500000","66900000","41800000","5400000","12900000","831600000","43700000","-88170000","617153591.794277","171529641.632488","-70747817.1664244","222710475.853259","-257865988.558357","47614095.0743783","54904045.8298395","-3425440.52413015","-143094386.12","-73213793.633562","-288109270.997092","95416371.5","4389826.5","476518083.75","49675691.875","5893778.6383343","150807854.271384","",
"Bolivia","BOL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","19763999.9","1899999.9","16204999.9","4599999.9","44233000","61596999.9","-8100000","-1200000","11500000","35000000","47000000","75700000","31100000","7000000","7000000","10000000","10000000","38100000","-10100000","-24400000","27200000","52000000","93100000","123800000","130200000","392700000","474100000","730600000","949300000","1010500000","736350000","705756000","676543000","197400000","65430000","-238620000","280763457","366294241.538303","512335605.237139","423040000","621997989.548348","858941070.400943","1059965390.78481","1749612614.39791","656566350.80003","554643532.297183","335365530.426077","712474137.775022","302368781.37636","-216636843.1305","-1129487271.3377","583576424.725665","6236980.0828294","240143401.667071","",
"Brazil","BRA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","391699999.9","449000000","459899999.9","1180700000","1207900000","1302000000","1555000000","1833000000","2006000000","2419000000","1911000000","2520000000","2910000000","1609000000","1594000000","1441000000","345000000","1169000000","2804000000","1131000000","989000000","1103000000","2061000000","1292000000","3072000000","4859000000","12552000000","18992934310.6468","28855609916.42","28385675614.9902","32994718699.75","23225846372.251","16586600193.114","10123013670.9901","18161380459.7533","15459981604.1196","19418085598.0794","44579492463.6336","50716402711.4787","31480931700","82389932468.07","102427228231.42","92568388321.34","75211029129.4","87713983217.24","64738153494.44","74294627801.19","68885491315.23","78183840044.98","69174411753.45","38270116307.45","46440503520.19","74606361830.23","62441880089.95","71069846845.21",
"Barbados","BRB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","10868499.9945657","15656171.6384982","19139837.1938904","5630300.31036336","2397684.5342294","4489152.48326658","6897500","4914000","8987000","30305500","29300000","37300000","35150000","16150000","36000000","4850000","7750000","7100000","25979409.31","8682963.92","11213282.795","7424921.25","14450000","9402113.87","12950000","63803750.15","15836484.06","28203499.05","29160482.23","47539505.12","73696943.905","91504910.94","228343253.8","184701288.595","228334500","390061395.8643","342267498.215","476404576.96","615122884.63","356008255.11","425337312.585","459552936.365","528045664.5074","104089451.159478","753687476.11428","688525943.309105","557500316.04356","91481933.165","241596500","215370130","262100000","238735060","200000000","224900000","",
"Brunei Darussalam","BRN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","85530000","-17550000","-3779999.9","290000","2080000","850000","-30890000","-3290000","4570000","350000","-19570000","-11109999.9","6210000","3620000","800000","3669999.9","-6049999.9","-70000","460000","10000000","7000000","5000000","7000000","8000000","5890000","582760560","653600000","701740000","573250000","747868670","549607250","60694643.6567848","229671955.675395","123820911.146426","113205866.961457","175068516.562807","87839128.3133848","257635717.488309","222184549.489168","325586827.786629","480722550","691170270","864905530","775642000","573906207.836339","171289167.823995","-150550827.310313","467927550.316567","516202620.629746","373256767.246304","565542275.429333","206462739.392455","-290169984.940838","-55927970.3793758","29063018.6489885",
