"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"American Samoa","ASM","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8695.0545939535","8920.49651554123","9333.40977957505","9242.36729551735","9121.86128109167","9003.19901894781","8797.2947477796","8573.51010293245","8256.36511825689","7885.63796465742","7741.63704849366","8182.82037884518","8472.10250092415","8699.27001777677","8900.79115821869","8956.08757462207","9174.01130835212","9621.78965287544","10172.6426993518","11038.3432283362","10346.5862498259","","",
"Antigua and Barbuda","ATG","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","10659.1118765346","10680.2883633198","10684.1525549391","11052.6333594609","11601.5117497047","11944.9324635402","12017.5844722482","12473.9540368982","12864.0518813232","13267.7506390265","13805.2511277957","13864.6735624287","14102.5147837719","14541.0222659035","15069.2693772636","15605.1371457934","15568.2572159733","16210.8440235455","16337.7109578655","16405.012632905","16496.5947781673","16770.043673706","17399.8214544561","17576.3792831071","17555.3104864246","17391.4018563154","17990.3949701177","18077.2430817275","18353.5467349465","18883.2721515893","19411.0790948755","19356.2504760286","19594.120578574","19790.52567834","20023.1683808838","20673.8581478474","21114.2678263425","21484.4874979166","22357.2181447765","23344.1106456067","24049.3287357216","24530.3536843492","24973.9237778335","25745.9504197365","26825.1581640552","27703.7242787219","28231.1306953661","29184.671275894","29979.799418328","29457.2383139789","30020.5718774553","30806.1001617657","31144.9421531988","31200.710861137","31441.5011357696","31813.1070106465","32157.9788329168","32407.6013421225","32829.5339684909","32881.8457961557","31416.1194457346","31657.5625650411","32597.0830138865","33826.6021464481","33506.4883715651",
"Austria","AUT","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","9886.43707698221","10503.6487608872","11077.7173419725","11608.3002365912","11935.3019176823","12355.6133138098","12939.9443790989","13766.6812220133","13542.8461190863","14209.8910740717","14567.9527101936","14716.1747624036","14988.4279122389","15828.4950273413","15492.7028137847","15765.8530431271","16101.3569622521","16480.2244027408","16853.1732738908","17379.4188757363","17977.8936444627","18332.3787666278","18762.5836472279","18628.2090256399","18935.7682385117","19067.9649008791","19601.8766898424","19661.92794135","20210.9718813646","20659.3447982118","21252.0135794364","21441.9998908602","21482.2799380836","21750.471777238","22117.628677025","22461.3821185147","22818.1789343277","22995.3691352011","23140.4260957776","23276.2178385652","23451.231331976","23686.6910457616","23702.0043017186","23544.0998309886","23431.7517992692","23283.6083256759","23389.1208081631","23681.6715707122","23827.4848048005","23851.9195197621","21727.1843402849","22544.7809848605","23594.8540897255","23298.5288472272","",
"Azerbaijan","AZE","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3118.24340673105","","","","","","","","","",
"Burundi","BDI","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.015739283815","223.85090090843","213.036649050208","206.231124173702","202.688527173899","213.269700443706","199.90594165813","200.294893634409","217.452110057875","231.63327201415","219.955701342396","218.382933575655","208.245617322359","198.216940635638","206.277892952941","206.916392868635","220.637431720084","221.315032138233","211.899307777663","204.757940983323","200.316917687198","201.162353185797","200.69869654302","195.608235266542","196.135685391646","195.501916222688","195.46245030923","",
"Belgium","BEL","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","9474.09967265778","9922.05643245329","10468.3049622655","11285.8991976624","11565.9569455181","11631.2695078233","12200.7933972107","12506.3759879496","12806.6218658905","13451.6897440125","13327.658362459","13383.7123484672","13713.8020929131","13694.2922494777","13745.0339379448","14113.1059624148","14491.6606079088","14730.5748368704","15171.030321326","15616.0189946121","16063.7745077923","16487.5675032808","16734.1461579988","16594.1700799092","16939.3031532071","17170.2756450714","17473.2186190288","17698.2172853622","18214.842423128","18557.074204369","19033.5860831606","19147.151024877","19178.0925920088","19235.0670466917","19355.8106439743","19527.6535504474","19743.5912248334","20009.2088081513","20124.7187641829","20080.1358815586","20496.239346467","20406.3971454384","20577.8391174039","20822.9550915786","20845.1557220647","21053.2266462899","21275.7794687839","21595.0150970053","21915.0432122873","22166.9356931225","20262.9834535023","21449.9342458646","21959.1736103304","22070.494585074","",
"Benin","BEN","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","567.146907471015","567.107954016731","550.705126781233","585.974236498949","626.197616478854","658.248294040084","710.785108382005","713.09337605499","722.334374788376","708.597376694448","703.849070421745","694.707963341483","705.515300184169","715.669934993707","702.768817299575","672.274814893262","655.055469061372","716.145846956591","716.80175260169","734.428295099122","753.196904804935","798.864908507421","685.58707528309","654.804992098184","687.656989778139","742.563001259095","709.168366946057","673.619442544673","728.168368289131","654.715322605929","600.438964000846","637.428736963081","654.050908388832","658.766148896961","600.866792325339","613.168625498186","631.564590152051","643.970904186521","658.450358190676","672.338611568292","701.076908215544","709.816958996746","718.30488251513","715.606422491254","722.082788315932","713.738493740693","721.996237689699","727.337822750794","736.315207503574","734.801639247406","727.806312292741","732.913634639619","725.101517168975","732.531905997737","737.408938877349","753.539958713957","745.975972806869","750.157385183968","754.871879863731","760.210662013755","764.146035406116","780.332012263033","804.926703638741","832.281666675589","852.906033149623",
"Burkina Faso","BFA","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","268.055431242228","267.099040141064","298.947567046673","299.352842822531","301.141771890879","278.534360713678","279.260110653623","262.625315989185","255.70210599907","266.111708167683","277.751637168636","290.044382833985","315.394110993505","305.278898118347","305.056057058154","318.85505965175","323.087517382206","319.628397407956","312.010247360419","283.828953140795","288.524274774714","320.141743072276","295.434325866376","303.765140850983","290.370054132298","274.407478114906","281.620641481844","276.71106257294","287.881110581128","224.507768706619","255.908565121787","295.191585639495","294.723482813596","324.646869323587","368.55961627136","359.515772372602","353.17025138051","360.816750698232","367.752066701435","379.84050922017","388.187650072713","392.325657357029","386.902375039296","402.922715216483","395.3849613867","404.834291886421","415.26967313261","441.088975357419","455.169832231686","447.692218045539","450.684820295769","456.308911994972","459.182455156753","457.561639904303","461.492996954802","459.01958811524","465.335419701234","473.475232676987","494.036093975892","507.88557192898",
"Bangladesh","BGD","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","740.566585561843","784.416839158863","748.677102848961","762.882007601511","819.422454815381","799.670719789519","789.930790584681","763.376973117983","763.927094034576","772.541446042685","818.602734723546","776.106490610809","714.329269476234","596.846196272464","552.1269194645","513.05441022431","499.399087919531","426.229823102091","481.239658148462","484.451112975453","492.179745151928","463.4256557467","436.594379304425","436.189544892736","455.749016425994","450.53140130506","452.652648076624","454.746393148274","462.44740994784","457.166687611913","482.391036509987","471.762086500366","481.219939099559","488.422119401354","497.008323503963","506.134238255736","496.487005403912","492.487677240095","491.440576364437","501.437261770191","516.853053993219","529.315681522686","526.719059257934","540.141968921992","564.645031869589","595.106012200744","629.692590222237","669.265515764412","688.990572749147","698.243146386791","724.016350513495","764.044000559947","787.89165913446","820.553735461623","845.680948186388","886.912376471498","905.423294896181","954.032882081033","1035.30373959093","1076.42245250605","1099.4473259373","1177.93400717848","1253.10179441914","1262.45721547606","1321.93978486053",
"Bulgaria","BGR","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","2172.21322169019","2263.00076406319","2375.42157832375","2424.18328999136","2543.20002805203","2540.48455358412","2589.53935093467","2733.50987222234","2909.55514451858","2831.44790285582","3047.20752436371","2306.61808693418","2275.56475132536","2227.26885732908","2136.51203232927","2544.77414417868","2647.08427005847","1801.72061000014","1763.84661265645","1899.54245548738","2080.7408949932","2285.48960018857","2468.60102953307","2649.83524886212","2922.82337108602","3160.32805307314","3456.1487214232","3881.78234278812","4045.58204539111","3898.10693925235","4016.69108692184","4122.92866852916","4301.58631483947","4219.64509590329","4334.49416907496","4511.9981129479","4666.26873413942","4844.64240108597","5090.98781908327","5472.20446251604","5504.920176008","6015.38023308168","6292.95848201969","6400.73679790062","6673.02874963365",
"Bahrain","BHR","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10075.8332681332","10437.3272386069","9781.35718058653","9389.53784128385","8841.19222171258","8418.30186593846","7882.66737761682","7635.68038320543","9002.34171705932","9353.64328575594","10677.6079494749","11230.8755642048","11226.8482224212","11902.0910243545","11269.1889610351","11088.1493201113","10649.2285040485","10232.2823415272","10393.8895615759","10544.8067522349","10161.4000918313","10523.3547237458","11101.0538149055","11233.4275899787","",
"Bahamas, The","BHS","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20046.067935364","19297.5946166106","18147.8383314227","16928.3737736551","16562.6491687108","16630.6407685718","17553.1556201503","18389.9327425964","19812.1746644273","21804.9694123565","23262.9178489514","23488.6516540094","23371.0293648749","23944.3723157019","23483.9130894481","22833.4039110939","24389.4600703163","24784.6505435294","24735.556271934","23531.4441533227","20901.1875178332","20848.4087525392","20160.3527773474","19130.9568788691","18602.0386785553","19423.6536100644","19561.6407073124","19718.9667234638","20926.1381356106","20909.4595195689","18639.9215910514","15188.5628984318","18441.6867439608","18788.2138448169","20393.7451970125","20956.6857013251",
"Bosnia and Herzegovina","BIH","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2213.18371275023","2305.51376744241","2426.70022755709","2541.58475352593","2648.87675124357","2807.27416407045","2935.02124063835","3130.29598915549","3343.2936527625","3256.38972952218","3317.80320441741","3374.22169000591","3417.66739700125","3475.51936404149","3588.02340660775","3697.44268226887","3828.36237574644","3932.99226975246","4067.90774412786","4213.42551631454","4123.94571730543","4368.31448627568","4506.03256491088","4584.28376033735","4709.39050748011",
